,Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Growth Rate
122,Malaysia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,1.0109
123,Maldives,523787,514438,435582,361575,282507,224957,164887,123243,1.0045
124,Mali,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1.0314
125,Malta,533286,515357,456579,418755,399212,365392,333587,315414,1.0124
126,Marshall Islands,41569,43413,49410,53416,54224,46047,31988,23969,0.9886
127,Martinique,367507,370391,383515,392181,432543,374271,333786,326428,0.9965
128,Mauritania,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1.0263
129,Mauritius,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,1.0004
130,Mayotte,326101,305587,249545,211786,159215,92659,52233,35383,1.0319
131,Mexico,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1.0063
132,Micronesia,114164,112106,109462,107588,111709,98603,76299,58989,1.0091
133,Moldova,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,1.0691
134,Monaco,36469,36922,36760,33178,32465,30329,27076,24270,0.9941
135,Mongolia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1.0151
136,Montenegro,627082,629048,633966,631044,633324,621442,589324,530268,0.9988
137,Montserrat,4390,4500,5059,4938,5138,10805,11452,11402,0.9939
138,Morocco,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,1.0103
139,Mozambique,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,1.0278
140,Myanmar,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,1.0071
141,Namibia,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,1.0146
142,Nauru,12668,12315,11185,10241,10377,9598,7635,6663,1.0125
143,Nepal,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,1.0171
144,Netherlands,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,1.0036
145,New Caledonia,289950,286403,283032,261426,221537,177264,148599,110982,1.0075
146,New Zealand,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,1.0108
147,Nicaragua,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,1.0143
148,Niger,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1.0378
149,Nigeria,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,1.0241
150,Niue,1934,1942,1847,1812,2074,2533,3637,5185,0.9985
151,North Korea,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,1.0038
152,North Macedonia,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,0.9954
153,Northern Mariana Islands,49551,49587,51514,54087,80338,48002,17613,10143,1.0014
154,Norway,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,1.0058
155,Oman,4576298,4543399,4191776,2881914,2344253,1804524,1017462,670693,1.0123
156,Pakistan,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,1.0191
157,Palau,18055,17972,17794,18540,19726,15293,12252,11366,1.0017
158,Palestine,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,1.0227
159,Panama,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,1.0132
160,Papua New Guinea,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,1.0194
161,Paraguay,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,1.0115
162,Peru,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1.0099
163,Philippines,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,1.0147
164,Poland,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,1.0404
165,Portugal,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,0.9981
